founder_id,name,genome
2445,Virido caeruleo [Bacteria],84;229;220;234;50;220;199;1;198
4493,Energo virido [Bacteria],220;26;125;20;130;220;59;120;2
406,Celer rubra [Protozoa],188;140;50;50;220;129;240;224;1;2
2454,Rubra virido [Bacteria],84;117;220;50;158;91;199;1;2
4511,Energo aggresso [Protozoa],176;140;50;50;170;34;123;97;204;34
2467,Aggresso caeruleo [Bacteria],166;219;206;84;50;197;240;232;143
2469,Aggresso virido [Protozoa],210;208;229;50;103;240;192;0;1;137
425,Aggresso virido [Protozoa],210;188;188;15;45;240;240;0;173;2
2474,Aggresso virido [Bacteria],118;59;76;50;50;61;240;166;85
2476,Aggresso senecto [Bacteria],79;51;74;89;172;191;240;1;2
4533,Rubra caeruleo [Bacteria],114;105;220;50;36;113;117;1;2
2489,Rubra energo [Bacteria],8;120;220;50;168;119;154;207;2
4538,Aggresso rubra [Protozoa],235;140;45;50;220;240;240;206;218;2
2496,Aggresso caeruleo [Bacteria],60;225;190;167;50;181;240;1;2
4545,Aggresso virido [Bacteria],106;120;213;66;165;220;240;39;206
450,Celer rubra [Protozoa],210;140;50;50;209;147;240;198;1;128
2504,Celer senecto [Bacteria],220;118;208;215;184;236;202;1;2
459,Senecto caeruleo [Algae],160;200;125;197;50;120;0
4556,Celer virido [Bacteria],161;120;190;16;113;253;240;1;220
2509,Aggresso virido [Bacteria],201;120;75;50;50;149;240;1;29
2522,Aggresso celer [Bacteria],166;219;220;44;50;40;240;219;143
4580,Aggresso caeruleo [Bacteria],220;234;220;230;119;144;240;123;2
488,Aggresso virido [Protozoa],44;96;50;33;220;240;240;0;1;2
2539,Virido senecto [Bacteria],200;120;220;236;149;220;173;1;219
4589,Aggresso caeruleo [Bacteria],116;120;206;176;114;141;240;13;177
2544,Virido senecto [Bacteria],114;40;94;253;230;220;240;18;2
2545,Celer caeruleo [Bacteria],32;133;73;120;0;219;143;136;200
4594,Aggresso rubra [Protozoa],82;140;4;235;220;240;80;0;32;208
4600,Celer caeruleo [Protozoa],106;237;226;50;7;142;240;88;136;28
4603,Aggresso rubra [Protozoa],217;100;24;229;79;240;133;158;70;34
4608,Virido rubra [Bacteria],220;120;7;251;98;228;205;1;79
514,Aggresso virido [Bacteria],206;167;220;50;50;192;240;192;2
4611,Rubra aggresso [Bacteria],220;78;228;181;176;213;0;1;95
2566,Celer energo [Protozoa],62;149;112;136;184;194;210;138;240;54
2578,Rubra virido [Bacteria],134;120;220;50;53;203;192;106;2
4634,Photosyntho senecto [Algae],180;58;196;220;182;240;53
4635,Celer energo [Protozoa],59;140;196;106;89;218;240;0;211;174
540,Aggresso virido [Bacteria],220;120;207;2;29;199;240;1;2
2591,Energo caeruleo [Bacteria],220;120;208;36;8;220;31;237;45
4642,Aggresso rubra [Protozoa],82;140;50;50;220;240;80;161;253;208
2602,Celer aggresso [Bacteria],220;120;32;226;34;238;2;196;2
4652,Virido energo [Bacteria],23;120;220;225;50;220;170;1;233
2607,Celer senecto [Bacteria],158;93;178;175;102;205;187;188;57
4661,Aggresso virido [Bacteria],220;120;48;33;50;142;233;226;2
569,Aggresso energo [Bacteria],61;65;142;165;133;112;248;136;20
4671,Energo virido [Bacteria],229;13;116;4;50;118;107;210;2
4674,Caeruleo virido [Protozoa],200;131;130;50;220;172;101;163;118;2
4680,Energo caeruleo [Protozoa],210;140;50;49;32;80;73;178;86;132
4685,Caeruleo senecto [Bacteria],116;75;183;193;222;197;87;1;141
4690,Aggresso caeruleo [Bacteria],220;120;220;215;31;220;240;73;204
601,Aggresso caeruleo [Bacteria],112;120;88;50;1;220;240;69;80
2650,Celer virido [Bacteria],53;120;138;50;200;220;53;190;2
4700,Celer virido [Protozoa],203;140;165;50;88;177;240;0;1;137
4704,Aggresso caeruleo [Protozoa],181;140;9;61;1;240;240;0;1;233
613,Aggresso caeruleo [Bacteria],220;115;162;175;42;220;226;161;208
2665,Virido caeruleo [Bacteria],220;120;158;223;50;175;109;167;2
4713,Celer aggresso [Protozoa],126;140;50;210;122;18;240;198;1;128
2667,Aggresso virido [Bacteria],166;219;220;50;211;167;238;144;2
2668,Aggresso celer [Bacteria],220;227;220;11;10;7;240;1;2
4715,Aggresso virido [Protozoa],158;162;168;50;76;240;240;39;123;2
2671,Rubra celer [Bacteria],210;72;220;68;200;21;113;141;2
4728,Aggresso rubra [Bacteria],44;242;7;54;16;131;254;211;211
2682,Energo rubra [Protozoa],245;140;67;161;220;240;240;0;1;230
638,Aggresso rubra [Protozoa],210;140;50;165;188;240;240;81;188;2
2693,Aggresso virido [Bacteria],218;209;191;48;50;65;240;79;2
2699,Rubra aggresso [Bacteria],87;112;220;66;50;220;41;1;36
4748,Senecto rubra [Bacteria],174;230;61;147;94;190;191;245;62
4749,Aggresso caeruleo [Bacteria],220;94;139;224;50;201;240;1;2
4750,Caeruleo virido [Protozoa],146;237;50;4;249;240;25;130;1;248
662,Aggresso rubra [Protozoa],210;140;16;50;45;240;240;170;1;70
673,Rubra senecto [Protozoa],210;140;250;250;220;240;240;0;1;245
676,Celer virido [Bacteria],238;199;196;31;56;242;191;164;105
2727,Energo virido [Bacteria],220;159;220;50;50;93;140;147;214
4775,Aggresso celer [Protozoa],167;140;165;50;88;240;34;218;1;68
4776,Rubra caeruleo [Bacteria],59;120;220;50;34;167;99;164;2
4777,Aggresso caeruleo [Bacteria],199;90;220;181;50;220;240;1;145
4783,Aggresso rubra [Bacteria],117;121;21;181;76;56;246;206;68
689,Virido celer [Bacteria],220;120;63;231;217;50;116;49;113
4789,Rubra virido [Bacteria],213;120;220;50;158;107;202;1;126
2742,Celer caeruleo [Bacteria],148;110;220;50;40;247;240;90;2
4791,Rubra senecto [Protozoa],210;140;243;213;220;146;240;76;7;215
4798,Aggresso energo [Protozoa],46;140;50;72;220;240;210;10;67;2
703,Aggresso senecto [Bacteria],202;120;220;190;210;220;240;1;2
2751,Rubra virido [Bacteria],183;46;220;36;220;220;184;1;36
2756,Celer energo [Bacteria],12;184;209;122;20;220;59;197;55
4807,Energo aggresso [Protozoa],237;75;144;117;75;42;171;32;128;209
4808,Aggresso caeruleo [Bacteria],220;108;71;125;50;135;240;1;2
4810,Aggresso rubra [Protozoa],74;95;50;50;220;240;218;185;1;2
2765,Virido caeruleo [Bacteria],220;230;220;244;21;220;240;1;143
2768,Caeruleo aggresso [Bacteria],116;95;183;50;222;197;28;1;2
724,Celer caeruleo [Bacteria],157;120;133;181;50;220;208;8;2
4822,Celer rubra [Protozoa],187;136;50;107;220;135;240;0;1;171
4836,Aggresso rubra [Protozoa],164;140;20;50;56;209;172;12;150;161
2792,Celer rubra [Bacteria],174;120;18;27;219;220;47;1;2
4841,Caeruleo celer [Bacteria],213;120;220;124;248;107;202;1;172
746,Virido senecto [Protozoa],210;36;50;251;124;240;240;248;1;2
755,Aggresso energo [Protozoa],26;140;119;127;155;162;33;0;1;177
759,Celer virido [Bacteria],116;95;183;50;50;220;90;1;2
4857,Aggresso celer [Bacteria],46;166;97;47;133;16;219;88;252
2813,Caeruleo senecto [Bacteria],218;120;220;174;248;220;155;153;46
766,Caeruleo virido [Protozoa],210;140;210;50;220;73;113;0;1;204
4865,Rubra virido [Bacteria],28;181;241;20;55;220;163;1;2
2833,Aggresso energo [Bacteria],33;95;220;50;132;148;234;214;134
4889,Celer energo [Protozoa],6;209;168;133;40;130;240;78;1;30
4896,Aggresso energo [Protozoa],6;209;160;50;40;240;204;78;1;2
4898,Celer energo [Protozoa],22;140;120;129;161;64;240;235;1;146
2851,Energo celer [Protozoa],210;140;50;37;145;99;6;162;1;47
811,Aggresso caeruleo [Bacteria],119;120;220;126;50;90;240;1;224
820,Aggresso celer [Bacteria],161;120;220;50;113;40;240;1;220
2871,Energo caeruleo [Bacteria],238;199;196;234;46;67;213;108;0
4932,Senecto energo [Protozoa],19;140;136;50;88;90;119;0;137;2
839,Aggresso energo [Protozoa],21;140;42;155;220;240;240;0;124;156
840,Celer caeruleo [Protozoa],210;110;226;50;7;142;240;0;1;249
842,Aggresso virido [Bacteria],115;120;148;50;186;99;240;1;2
2893,Celer senecto [Protozoa],210;9;177;50;220;183;240;0;173;2
