founder_id,name,genome
3556,Aggresso rubra [Bacteria],180;218;7;220;172;87;240;1;2
3583,Celer virido [Bacteria],120;120;153;50;50;220;59;120;147
3594,Aggresso rubra [Bacteria],169;64;35;101;123;87;190;74;224
3617,Virido senecto [Bacteria],167;35;220;240;174;204;87;1;72
1590,Celer virido [Protozoa],62;117;50;20;71;165;180;252;82;2
3646,Caeruleo energo [Protozoa],19;175;232;50;240;145;240;157;1;92
1601,Aggresso caeruleo [Bacteria],148;120;77;50;40;220;240;90;114
3655,Celer rubra [Protozoa],237;214;50;50;151;107;240;0;147;244
1627,Senecto energo [Bacteria],9;167;55;23;50;124;80;1;217
1628,Aggresso celer [Bacteria],220;34;220;179;50;15;240;1;215
1630,Energo celer [Bacteria],220;67;220;50;50;12;100;202;69
3685,Celer energo [Bacteria],87;103;123;194;121;224;199;1;2
1639,Energo rubra [Bacteria],220;120;29;50;176;220;111;0;2
3688,Celer energo [Bacteria],79;120;79;89;110;220;177;4;28
1642,Aggresso caeruleo [Bacteria],132;143;87;122;50;132;153;1;249
1646,Aggresso celer [Protozoa],67;161;220;50;220;226;23;189;1;2
3694,Virido celer [Bacteria],71;161;72;204;26;25;180;84;222
3702,Caeruleo energo [Bacteria],3;119;126;50;210;96;50;1;2
1662,Rubra energo [Bacteria],53;124;238;90;208;114;205;83;157
3715,Energo caeruleo [Protozoa],234;140;50;186;2;82;42;0;1;168
3722,Senecto aggresso [Protozoa],218;234;192;50;220;23;189;131;1;99
3731,Aggresso virido [Bacteria],40;211;230;31;50;220;232;166;2
1688,Rubra aggresso [Bacteria],90;172;216;118;66;108;14;170;255
1694,Senecto caeruleo [Protozoa],69;215;176;80;39;58;187;108;118;250
3744,Senecto energo [Algae],36;200;107;150;50;84;0
1705,Energo rubra [Protozoa],249;140;98;193;101;240;240;38;1;2
3761,Energo caeruleo [Bacteria],188;36;183;59;35;79;77;134;85
1714,Aggresso caeruleo [Bacteria],195;120;90;194;50;168;240;124;2
3764,Caeruleo rubra [Algae],148;58;50;220;224;217;225
3775,Aggresso celer [Bacteria],220;70;43;206;121;6;240;173;2
1728,Celer rubra [Protozoa],210;140;3;160;220;189;240;241;85;2
1734,Rubra celer [Bacteria],110;120;220;50;165;26;131;3;219
3782,Caeruleo senecto [Protozoa],48;45;50;72;249;240;240;130;161;2
1735,Caeruleo virido [Bacteria],220;212;220;50;236;60;130;52;85
3785,Celer rubra [Protozoa],210;140;17;50;220;18;240;49;26;185
1745,Energo caeruleo [Bacteria],220;61;220;50;23;69;65;7;2
1747,Aggresso virido [Bacteria],220;120;58;50;221;194;242;175;2
1749,Aggresso virido [Bacteria],132;120;87;50;50;132;240;184;2
3801,Rubra virido [Bacteria],71;120;220;7;117;92;173;1;219
1761,Caeruleo rubra [Protozoa],106;140;3;50;220;189;148;0;99;54
1762,Aggresso caeruleo [Bacteria],143;183;198;94;39;147;216;43;79
3809,Celer energo [Protozoa],13;19;70;50;215;56;247;0;149;199
3822,Energo aggresso [Bacteria],216;122;132;176;51;63;21;226;2
3835,Rubra virido [Bacteria],84;211;220;50;87;190;152;1;235
1788,Celer aggresso [Bacteria],188;120;90;177;210;220;33;1;2
3839,Energo caeruleo [Protozoa],246;73;50;17;10;240;240;0;139;195
3844,Caeruleo celer [Protozoa],210;217;108;109;240;240;83;197;1;153
3846,Aggresso virido [Bacteria],210;219;220;52;143;58;240;60;2
3848,Virido senecto [Bacteria],220;120;196;253;175;220;240;93;2
1817,Virido caeruleo [Bacteria],188;230;220;235;59;220;166;1;178
3869,Aggresso rubra [Protozoa],152;111;6;204;94;239;18;194;1;2
3871,Energo aggresso [Protozoa],210;139;50;50;109;42;87;145;1;10
3878,Aggresso celer [Bacteria],202;175;192;218;234;23;240;1;100
3879,Aggresso rubra [Bacteria],220;70;43;206;50;220;240;173;190
3883,Celer virido [Bacteria],142;175;110;50;50;236;53;133;119
1839,Caeruleo virido [Protozoa],96;98;50;3;220;198;53;156;1;2
1840,Celer aggresso [Bacteria],93;101;100;42;55;148;25;183;209
3901,Aggresso rubra [Bacteria],220;234;25;176;66;220;240;165;2
3903,Aggresso celer [Bacteria],132;120;114;50;20;17;240;74;2
3910,Energo rubra [Bacteria],220;85;44;50;217;85;92;1;2
1865,Senecto virido [Bacteria],220;242;220;50;50;220;166;189;120
3913,Aggresso rubra [Protozoa],162;140;50;50;220;240;240;194;1;239
1876,Aggresso senecto [Protozoa],210;140;228;161;220;240;223;0;104;59
3936,Energo caeruleo [Bacteria],220;120;220;141;50;220;161;190;192
1898,Celer virido [Protozoa],150;83;157;50;137;186;240;151;252;2
3950,Celer aggresso [Protozoa],47;140;106;229;220;37;240;246;173;71
3962,Celer rubra [Protozoa],210;160;140;180;145;189;240;162;1;212
3963,Celer virido [Bacteria],220;121;220;59;116;230;186;1;223
3978,Celer virido [Bacteria],46;48;134;22;168;230;64;1;2
1936,Celer rubra [Protozoa],51;93;50;51;220;147;232;127;116;2
3985,Energo rubra [Protozoa],245;219;67;112;84;240;159;0;1;222
1939,Aggresso rubra [Protozoa],210;140;50;50;210;240;108;83;185;2
1950,Aggresso rubra [Protozoa],211;119;50;190;220;240;131;0;23;2
4007,Aggresso senecto [Bacteria],68;15;220;36;50;220;240;34;219
1964,Aggresso caeruleo [Protozoa],167;140;50;229;34;240;240;0;241;2
4027,Aggresso caeruleo [Bacteria],220;120;143;200;50;138;243;1;208
1981,Rubra caeruleo [Bacteria],49;184;220;122;26;220;59;197;55
4035,Aggresso rubra [Bacteria],220;120;17;50;107;156;240;235;212
4042,Rubra energo [Protozoa],22;151;225;97;220;109;107;226;1;2
4046,Celer virido [Bacteria],107;120;60;30;45;220;219;237;2
4049,Aggresso caeruleo [Bacteria],173;67;220;101;29;220;240;71;8
2003,Celer virido [Bacteria],129;120;204;42;50;220;65;1;131
4051,Aggresso celer [Bacteria],155;217;222;232;142;36;240;1;86
2014,Celer virido [Bacteria],167;132;119;50;148;220;148;101;196
2021,Caeruleo senecto [Bacteria],18;11;220;50;235;220;220;1;242
2022,Aggresso rubra [Protozoa],66;140;50;155;221;240;240;246;218;75
4092,Aggresso virido [Bacteria],97;143;220;65;204;75;240;211;2
